DateTime,Artist Name,Genre,Stage Location,Expected Audience Size,Actual Audience Size,Audience Engagement Score,Performance Duration,Setup Time,Tear Down Time
4/25/2024 9:52:42 AM,Byte Beat,Electronic,Main Stage,4986,4986,5,113,17,16
6/17/2023 7:05:40 AM,Recursive Rhythms,Indie,VIP Lounge,4035,4035,5,79,22,31
4/2/2024 8:36:44 AM,Cache Miss,Jazz,Indie Arena,4719,2372,2,77,52,59
7/26/2023 11:48:14 AM,The Query Strings,Hip Hop,Main Stage,5291,5291,3,107,18,51
8/1/2023 5:45:45 AM,The Algorithmics,Indie,VIP Lounge,6975,1911,9,59,26,56
7/19/2023 9:48:08 PM,Syntax Error,Electronic,Main Stage,7956,6670,7,58,58,58
4/26/2023 2:06:41 PM,Cache Miss,Indie,VIP Lounge,5501,4097,1,37,45,31
2/16/2024 10:22:15 PM,Cache Miss,Rock,Indie Arena,3122,3122,3,41,39,52
1/5/2024 6:04:56 PM,Recursive Rhythms,Electronic,DJ Tent,5838,5838,2,70,30,49
6/28/2023 2:37:03 PM,Byte Beat,Rock,DJ Tent,6084,1148,1,55,56,53
11/21/2023 6:08:37 AM,The Data Wranglers,Electronic,Main Stage,1870,1870,9,79,28,44
10/26/2023 10:41:54 PM,Random Forest,Indie,Indie Arena,9089,1784,8,31,27,20
6/25/2023 10:04:52 PM,Syntax Error,Jazz,DJ Tent,3315,3315,5,84,55,18
4/5/2024 2:46:38 PM,Infinite Loop,Hip Hop,VIP Lounge,6794,5959,2,85,21,51
10/29/2023 12:55:06 PM,Segmentation Fault,Rock,DJ Tent,3076,3076,1,43,26,49
4/12/2024 12:27:49 PM,The Algorithmics,Indie,Main Stage,3837,3837,7,35,51,23
1/21/2024 8:43:06 AM,Recursive Rhythms,Jazz,Main Stage,852,852,2,110,18,20
9/20/2023 11:23:55 PM,Cache Miss,Indie,Indie Arena,1492,730,1,118,16,27
9/1/2023 11:16:04 PM,Syntax Error,Rock,Main Stage,6889,6889,2,90,49,36
8/31/2023 9:35:01 AM,The Algorithmics,Hip Hop,DJ Tent,777,777,7,41,58,42
4/27/2023 7:59:14 PM,Cache Miss,Indie,DJ Tent,205,205,7,42,17,44
11/21/2023 6:08:29 PM,Neural Nets,Electronic,DJ Tent,4853,4853,6,48,18,50
8/28/2023 9:27:51 PM,Bit Rate,Jazz,DJ Tent,2046,2046,5,73,52,16
3/20/2024 1:05:34 AM,Parallel Processors,Indie,Indie Arena,5644,2241,3,118,26,50
10/24/2023 8:28:47 AM,Segmentation Fault,Jazz,VIP Lounge,1195,1195,3,88,33,22
3/9/2024 9:42:04 PM,The Algorithmics,Electronic,VIP Lounge,7085,7085,9,66,24,59
4/25/2024 3:43:13 AM,Byte Beat,Hip Hop,Indie Arena,1882,1882,4,54,15,56
11/4/2023 11:47:00 PM,Cluster Funk,Hip Hop,Main Stage,4641,4641,9,45,31,23
4/28/2024 5:25:52 PM,Hello World,Electronic,VIP Lounge,3357,3357,4,67,30,15
2/12/2024 5:18:24 PM,Cache Miss,Jazz,Main Stage,6313,2896,2,72,23,27
5/25/2023 1:06:25 AM,Bit Rate,Indie,VIP Lounge,4969,2513,4,116,23,29
12/24/2023 5:21:50 AM,Random Forest,Electronic,Main Stage,1661,1661,6,43,23,46
1/6/2024 11:46:19 AM,Hello World,Rock,Indie Arena,4106,4106,6,35,26,48
9/28/2023 11:58:47 AM,Segmentation Fault,Jazz,DJ Tent,9967,4442,5,118,55,57
1/21/2024 11:09:58 AM,Hello World,Hip Hop,Main Stage,9414,3233,1,52,29,45
7/18/2023 10:37:31 AM,The Data Wranglers,Electronic,DJ Tent,4081,3217,3,89,16,28
10/22/2023 11:04:07 AM,Recursive Rhythms,Hip Hop,Main Stage,9593,3047,5,41,25,28
8/2/2023 3:51:55 PM,Cache Miss,Jazz,Main Stage,5782,5782,6,42,25,43
5/15/2023 5:26:12 PM,Hello World,Hip Hop,Main Stage,5882,3277,1,35,22,33
1/6/2024 6:52:49 PM,Cluster Funk,Electronic,Main Stage,1043,1043,9,92,46,41
6/21/2023 7:57:04 PM,Cluster Funk,Jazz,Main Stage,4650,4650,3,67,20,23
7/2/2023 2:10:10 AM,Cache Miss,Rock,DJ Tent,9237,2074,3,79,34,51
4/11/2024 4:43:57 PM,Epsilon Greedy,Electronic,Main Stage,700,379,2,81,53,51
2/7/2024 1:52:04 AM,Cluster Funk,Indie,DJ Tent,6476,2536,8,69,49,57
2/16/2024 11:12:25 AM,Hello World,Electronic,Indie Arena,9709,1205,3,37,22,42
3/13/2024 11:47:14 PM,Infinite Loop,Jazz,VIP Lounge,1624,1624,6,90,57,38
8/11/2023 12:46:49 PM,Recursive Rhythms,Electronic,Main Stage,3866,2235,2,37,48,42
1/18/2024 7:43:18 AM,The Query Strings,Rock,VIP Lounge,350,350,7,63,33,50
11/21/2023 6:26:30 PM,The Algorithmics,Rock,DJ Tent,9836,2367,4,108,21,32
12/3/2023 12:43:39 AM,Cluster Funk,Indie,Indie Arena,178,178,9,89,45,39
8/23/2023 8:49:26 AM,Syntax Error,Hip Hop,Indie Arena,3223,3223,9,86,32,49
4/15/2023 1:18:01 AM,Segmentation Fault,Jazz,Indie Arena,9189,2561,7,75,54,18
2/4/2024 12:30:40 AM,Epsilon Greedy,Jazz,VIP Lounge,7164,7164,8,51,28,28
2/25/2024 11:58:22 PM,Syntax Error,Hip Hop,DJ Tent,8517,8517,3,116,53,53
5/19/2023 7:20:49 AM,Hello World,Rock,Main Stage,1309,1309,5,69,50,40
4/25/2023 9:21:01 PM,The Algorithmics,Rock,Main Stage,5253,5253,2,74,31,22
8/25/2023 6:01:52 PM,Byte Beat,Electronic,DJ Tent,4998,4998,7,84,51,38
5/1/2024 3:30:47 PM,Neural Nets,Indie,VIP Lounge,2278,2278,8,80,58,30
2/3/2024 10:48:21 AM,The Algorithmics,Indie,Main Stage,7710,1343,9,115,23,34
7/23/2023 12:11:09 PM,Byte Beat,Indie,DJ Tent,8995,2515,7,34,34,29
4/24/2024 12:56:41 AM,The Data Wranglers,Electronic,Main Stage,2644,2644,8,42,59,21
4/27/2023 3:49:41 PM,Syntax Error,Indie,Indie Arena,5622,5622,9,57,42,31
4/14/2024 4:30:55 AM,Neural Nets,Hip Hop,Main Stage,2470,2470,6,113,34,36
7/23/2023 11:39:30 PM,The Data Wranglers,Electronic,VIP Lounge,3381,3381,2,109,55,36
7/7/2023 6:46:22 PM,Neural Nets,Hip Hop,DJ Tent,4810,4810,2,91,50,26
8/2/2023 3:24:55 AM,Recursive Rhythms,Electronic,VIP Lounge,428,428,4,116,41,32
12/10/2023 11:07:51 PM,Neural Nets,Indie,DJ Tent,5679,2809,9,53,22,29
6/28/2023 7:15:56 AM,Recursive Rhythms,Hip Hop,Indie Arena,4328,4328,7,36,46,51
8/28/2023 1:16:59 AM,The Query Strings,Hip Hop,DJ Tent,6894,6894,2,67,15,30
10/13/2023 3:09:57 PM,Random Forest,Hip Hop,Main Stage,220,52,8,66,31,19
4/18/2023 5:00:14 PM,Segmentation Fault,Electronic,Main Stage,6849,6849,7,97,23,16
5/3/2024 10:35:38 PM,Byte Beat,Jazz,Indie Arena,1064,1064,9,71,34,42
6/10/2023 6:47:05 AM,Bit Rate,Indie,DJ Tent,4324,4324,8,115,59,55
12/18/2023 9:59:48 AM,Cluster Funk,Hip Hop,Indie Arena,3775,3775,3,34,46,41
11/15/2023 11:47:50 AM,Hello World,Jazz,Main Stage,5794,5794,1,93,16,45
4/25/2023 6:05:32 PM,Epsilon Greedy,Indie,VIP Lounge,2176,2176,2,79,46,55
3/20/2024 6:39:04 PM,Segmentation Fault,Indie,Indie Arena,6965,1935,2,116,59,50
5/9/2023 1:13:51 PM,The Data Wranglers,Hip Hop,VIP Lounge,5743,5743,4,44,23,57
3/13/2024 9:23:17 AM,The Query Strings,Hip Hop,VIP Lounge,8624,7894,6,102,44,15
7/11/2023 12:57:28 AM,The Data Wranglers,Electronic,DJ Tent,5349,5349,4,82,34,43
5/29/2023 4:44:56 PM,Random Forest,Jazz,Indie Arena,1416,1416,9,54,52,15
4/18/2024 2:38:03 PM,Epsilon Greedy,Jazz,VIP Lounge,1296,1296,4,118,15,22
7/23/2023 3:56:20 PM,Bit Rate,Hip Hop,VIP Lounge,3270,3270,6,114,19,30
1/18/2024 9:22:45 PM,Parallel Processors,Indie,DJ Tent,9721,3808,6,38,49,42
2/9/2024 3:40:33 AM,The Query Strings,Hip Hop,DJ Tent,455,455,1,67,50,36
4/27/2024 9:14:43 AM,The Data Wranglers,Indie,Main Stage,9818,9189,8,51,15,32
12/14/2023 11:16:00 PM,Random Forest,Indie,VIP Lounge,128,128,3,116,28,36
11/5/2023 2:28:59 AM,Parallel Processors,Hip Hop,Main Stage,1113,1113,6,78,23,55
10/27/2023 8:24:20 AM,The Algorithmics,Rock,VIP Lounge,9119,2781,3,97,44,26
5/4/2023 2:00:10 AM,Hello World,Jazz,Main Stage,2124,919,2,44,38,33
6/7/2023 12:25:31 AM,Hello World,Indie,DJ Tent,8590,5216,5,94,18,39
11/16/2023 11:57:44 AM,Bit Rate,Indie,Indie Arena,5939,143,1,83,28,19
2/26/2024 5:07:17 PM,The Data Wranglers,Rock,DJ Tent,5891,3037,9,59,39,48
6/29/2023 11:49:58 AM,The Algorithmics,Electronic,Main Stage,854,854,7,49,18,53
1/12/2024 7:31:09 PM,Bit Rate,Rock,Main Stage,9061,4997,3,62,39,24
1/20/2024 12:42:17 AM,Segmentation Fault,Rock,Indie Arena,3835,3835,4,115,24,21
9/7/2023 8:17:52 AM,Epsilon Greedy,Indie,VIP Lounge,1338,1338,6,106,49,51
5/23/2023 10:51:54 PM,Cache Miss,Jazz,Main Stage,2006,2006,3,36,21,29
11/27/2023 6:39:52 PM,Segmentation Fault,Rock,Main Stage,7499,6574,7,37,56,56
1/12/2024 2:45:36 PM,Hello World,Electronic,Main Stage,8061,3194,6,57,27,38
2/20/2024 2:53:43 AM,Epsilon Greedy,Hip Hop,Indie Arena,9856,3637,9,74,18,40
3/2/2024 9:05:13 AM,Random Forest,Rock,DJ Tent,9510,126,5,102,57,40
9/30/2023 4:24:29 AM,The Query Strings,Rock,Main Stage,4701,4701,4,118,50,40
7/20/2023 10:46:51 AM,Infinite Loop,Electronic,Indie Arena,9649,9009,3,109,28,24
2/28/2024 12:20:14 PM,Recursive Rhythms,Jazz,Main Stage,1560,1560,1,103,32,31
11/20/2023 10:45:06 PM,Syntax Error,Rock,VIP Lounge,7769,7769,3,40,22,28
12/7/2023 12:56:45 AM,The Algorithmics,Rock,Indie Arena,1516,1516,3,60,46,16
2/17/2024 5:57:26 PM,Neural Nets,Jazz,Main Stage,7866,2923,7,41,41,27
6/16/2023 8:34:28 PM,The Data Wranglers,Electronic,Indie Arena,1528,1528,7,107,56,41
5/19/2023 5:38:21 AM,Infinite Loop,Rock,Main Stage,4478,4478,1,80,51,23
2/13/2024 9:22:44 PM,Byte Beat,Jazz,DJ Tent,7629,3198,3,73,37,21
2/18/2024 9:38:28 PM,Epsilon Greedy,Rock,Main Stage,4574,4574,8,79,21,24
12/2/2023 1:13:45 AM,Syntax Error,Hip Hop,Indie Arena,3171,294,9,46,26,23
7/19/2023 7:37:38 PM,Cluster Funk,Indie,VIP Lounge,655,655,7,64,39,36
12/8/2023 9:40:13 PM,Random Forest,Hip Hop,VIP Lounge,8647,3899,7,30,17,37
8/11/2023 1:17:39 AM,Cache Miss,Rock,VIP Lounge,1663,1663,8,58,40,21
12/29/2023 3:43:49 AM,Neural Nets,Electronic,Main Stage,1140,1140,6,80,18,23
2/4/2024 11:47:24 AM,Recursive Rhythms,Indie,DJ Tent,2786,2786,3,93,56,41
4/1/2024 1:55:30 AM,Cluster Funk,Hip Hop,Main Stage,2653,2653,1,33,50,38
4/23/2023 8:16:23 PM,Cache Miss,Jazz,VIP Lounge,1879,942,7,116,29,43
10/15/2023 4:27:19 AM,Byte Beat,Electronic,Indie Arena,175,175,1,57,46,31
7/20/2023 3:58:44 PM,Hello World,Hip Hop,VIP Lounge,4426,4426,1,45,43,34
4/25/2023 6:16:43 AM,Segmentation Fault,Jazz,Indie Arena,5935,5935,9,92,24,21
8/30/2023 8:56:10 AM,The Data Wranglers,Rock,DJ Tent,5157,2449,7,105,35,57
1/28/2024 1:23:00 PM,The Query Strings,Jazz,Indie Arena,2449,2449,4,82,30,54
1/11/2024 7:33:35 PM,Cache Miss,Hip Hop,Main Stage,2873,2873,6,114,33,21
4/20/2024 11:14:32 AM,Neural Nets,Hip Hop,Main Stage,2362,2362,1,46,43,42
7/12/2023 3:55:24 AM,Infinite Loop,Rock,Main Stage,3329,1519,7,69,32,33
4/13/2024 10:14:39 AM,Parallel Processors,Jazz,Indie Arena,492,492,6,42,58,34
4/17/2023 1:25:01 AM,Recursive Rhythms,Jazz,Main Stage,1208,1208,4,81,30,58
11/12/2023 6:13:13 PM,Epsilon Greedy,Rock,Main Stage,4462,4462,7,87,15,53
10/14/2023 2:14:41 PM,Hello World,Jazz,Main Stage,5288,5288,3,66,16,54
6/1/2023 11:06:14 AM,Parallel Processors,Rock,DJ Tent,8902,5172,1,108,29,21
5/28/2023 12:33:33 AM,Epsilon Greedy,Electronic,Indie Arena,5157,5157,4,105,53,20
6/20/2023 6:47:41 AM,Neural Nets,Hip Hop,Indie Arena,4098,4098,3,90,42,39
3/5/2024 9:22:10 AM,Epsilon Greedy,Electronic,VIP Lounge,8964,7681,1,108,15,55
12/24/2023 4:48:51 PM,Cache Miss,Indie,Indie Arena,6666,6666,2,63,19,27
8/4/2023 2:54:29 PM,Infinite Loop,Indie,DJ Tent,3777,3777,5,99,56,53
9/21/2023 2:26:36 PM,Parallel Processors,Indie,Indie Arena,5896,2274,8,46,36,54
6/21/2023 8:08:55 AM,Random Forest,Rock,DJ Tent,6463,2160,1,49,50,36
7/12/2023 1:59:56 PM,Parallel Processors,Jazz,DJ Tent,8223,1007,4,102,27,31
7/15/2023 6:34:06 PM,Epsilon Greedy,Electronic,Indie Arena,8322,7196,4,88,15,36
5/10/2023 7:24:31 AM,Segmentation Fault,Electronic,VIP Lounge,7790,610,5,98,30,48
5/5/2024 10:45:39 PM,Infinite Loop,Electronic,Main Stage,1500,1500,7,116,55,22
6/18/2023 3:06:39 PM,Recursive Rhythms,Electronic,Main Stage,4171,4171,8,62,36,59
9/12/2023 2:48:19 PM,Byte Beat,Indie,Indie Arena,8908,1362,6,107,46,32
6/23/2023 3:53:55 PM,The Query Strings,Electronic,Indie Arena,2886,1871,1,46,30,38
3/31/2024 7:53:50 PM,Cache Miss,Jazz,DJ Tent,7269,5696,7,86,29,56
12/31/2023 5:45:26 PM,Syntax Error,Indie,Indie Arena,970,970,3,112,56,16
10/28/2023 7:05:40 AM,Cluster Funk,Electronic,DJ Tent,4296,4296,6,30,26,16
10/8/2023 3:01:59 AM,Bit Rate,Rock,VIP Lounge,9704,2701,8,42,15,41
4/2/2024 2:12:55 PM,Infinite Loop,Hip Hop,Indie Arena,2839,2839,7,56,31,28
2/8/2024 11:31:30 AM,Syntax Error,Hip Hop,Main Stage,1040,1040,6,99,55,53
7/9/2023 11:25:17 PM,Syntax Error,Hip Hop,Main Stage,440,440,9,88,42,26
12/2/2023 9:53:18 AM,Syntax Error,Indie,Indie Arena,7522,5632,9,35,21,46
12/29/2023 2:53:13 AM,Neural Nets,Electronic,DJ Tent,4233,4233,1,52,23,42
2/24/2024 5:25:22 PM,Hello World,Indie,Main Stage,759,759,1,39,36,42
5/7/2023 1:23:30 AM,Parallel Processors,Jazz,DJ Tent,9852,795,1,80,40,39
6/19/2023 3:46:16 AM,Infinite Loop,Rock,Indie Arena,3557,3557,8,48,26,18
2/8/2024 11:51:14 PM,Cache Miss,Rock,Indie Arena,9948,991,7,80,21,40
10/3/2023 8:06:20 PM,The Algorithmics,Hip Hop,Main Stage,3075,3075,3,116,29,50
8/21/2023 10:13:38 AM,Recursive Rhythms,Hip Hop,Indie Arena,9341,2346,2,97,52,17
12/2/2023 8:11:19 PM,Parallel Processors,Hip Hop,VIP Lounge,553,553,4,113,35,15
3/12/2024 12:42:12 AM,Parallel Processors,Electronic,VIP Lounge,9996,1660,3,112,28,31
6/30/2023 2:20:12 PM,Random Forest,Jazz,Main Stage,8284,6350,7,71,16,21
8/29/2023 11:55:16 PM,Syntax Error,Jazz,VIP Lounge,5542,1775,8,86,22,19
1/30/2024 5:31:42 PM,Hello World,Jazz,DJ Tent,918,918,6,97,59,33
11/7/2023 4:21:09 AM,Bit Rate,Jazz,Main Stage,4968,4968,3,67,20,53
1/31/2024 5:30:17 PM,Segmentation Fault,Hip Hop,Main Stage,112,112,6,91,51,48
2/3/2024 6:55:06 AM,Neural Nets,Rock,DJ Tent,7827,7827,2,36,51,49
2/13/2024 1:49:59 PM,The Algorithmics,Hip Hop,VIP Lounge,1020,1020,7,100,47,30
9/3/2023 4:34:18 PM,Hello World,Jazz,VIP Lounge,5020,82,7,79,55,54
2/20/2024 7:34:15 PM,Epsilon Greedy,Hip Hop,VIP Lounge,2518,2518,4,81,20,53
8/14/2023 11:30:00 AM,Cache Miss,Jazz,Main Stage,9606,3464,8,55,40,41
9/9/2023 8:41:00 PM,The Algorithmics,Indie,Main Stage,6575,1206,4,55,53,55
5/4/2023 7:12:02 AM,Byte Beat,Rock,VIP Lounge,2117,2117,7,48,55,52
8/19/2023 6:44:21 AM,Neural Nets,Indie,Indie Arena,8057,8057,4,38,51,39
7/29/2023 5:22:17 AM,The Algorithmics,Electronic,VIP Lounge,9520,1593,5,90,28,40
2/21/2024 6:11:31 PM,The Data Wranglers,Hip Hop,DJ Tent,4892,321,7,49,51,28
7/22/2023 10:56:09 AM,Segmentation Fault,Electronic,Main Stage,6930,5345,3,79,22,28
7/14/2023 6:44:09 PM,Syntax Error,Hip Hop,DJ Tent,2534,2534,5,109,53,28
12/30/2023 4:03:19 AM,The Query Strings,Indie,DJ Tent,2968,2968,3,110,27,39
5/26/2023 3:15:16 PM,Neural Nets,Jazz,Main Stage,1538,1538,5,51,27,50
7/24/2023 8:56:30 AM,Random Forest,Jazz,Indie Arena,3643,3643,3,42,54,18
11/3/2023 9:27:53 PM,Cache Miss,Hip Hop,VIP Lounge,1881,1881,7,41,57,29
3/31/2024 3:36:04 PM,Epsilon Greedy,Jazz,DJ Tent,6443,6443,1,39,42,46
9/4/2023 3:13:42 PM,The Algorithmics,Indie,Main Stage,2363,2363,9,94,32,32
5/22/2023 12:36:05 AM,The Query Strings,Jazz,DJ Tent,311,311,9,59,33,28
11/4/2023 3:22:11 PM,The Query Strings,Indie,VIP Lounge,8799,8251,5,37,52,15
10/23/2023 1:57:28 PM,Segmentation Fault,Electronic,Indie Arena,6259,4194,9,50,46,56
7/3/2023 5:52:38 AM,The Algorithmics,Indie,Indie Arena,7127,5656,6,51,36,34
11/20/2023 11:55:26 AM,Hello World,Rock,Indie Arena,431,431,5,47,16,24
5/6/2024 6:33:29 PM,Random Forest,Rock,Main Stage,6960,780,3,95,27,24
4/23/2024 9:54:44 PM,Hello World,Rock,Main Stage,8144,4940,8,77,37,38
8/1/2023 9:01:26 PM,Epsilon Greedy,Hip Hop,Indie Arena,8269,1698,4,73,39,48
8/5/2023 9:30:23 AM,The Algorithmics,Hip Hop,VIP Lounge,8842,4278,3,38,42,42
10/19/2023 9:40:21 AM,The Query Strings,Hip Hop,VIP Lounge,5820,2180,6,96,25,41
6/24/2023 6:00:43 PM,Random Forest,Indie,Main Stage,9233,4416,8,83,47,54
11/18/2023 2:22:24 PM,Random Forest,Hip Hop,Indie Arena,827,827,9,55,38,15
11/7/2023 10:37:24 PM,Cluster Funk,Electronic,VIP Lounge,5075,2208,6,114,16,47
6/26/2023 2:33:19 AM,Parallel Processors,Rock,VIP Lounge,3343,2966,5,55,44,18
5/8/2023 2:54:45 PM,Recursive Rhythms,Indie,VIP Lounge,748,748,2,63,31,21
2/28/2024 12:45:36 AM,Cache Miss,Rock,Main Stage,5195,5195,2,37,54,23
7/9/2023 7:28:40 AM,Bit Rate,Hip Hop,Indie Arena,6714,6315,9,39,48,30
2/28/2024 2:21:08 PM,The Algorithmics,Indie,DJ Tent,7235,4186,2,77,52,19
12/8/2023 8:48:00 AM,The Query Strings,Jazz,Indie Arena,1109,1109,2,84,36,48
10/18/2023 4:59:04 PM,The Query Strings,Electronic,Indie Arena,1650,1650,3,83,19,37
1/4/2024 3:08:10 PM,Random Forest,Hip Hop,Main Stage,9095,2860,3,107,54,57
8/20/2023 11:07:48 AM,Hello World,Hip Hop,VIP Lounge,7592,6202,4,69,30,39
4/12/2023 7:04:50 AM,Parallel Processors,Electronic,VIP Lounge,3501,62,7,44,27,27
9/28/2023 6:09:08 PM,The Query Strings,Electronic,Main Stage,7547,5988,9,110,40,38
8/8/2023 2:22:04 AM,Random Forest,Jazz,Main Stage,5524,5524,2,47,45,25
11/10/2023 1:11:19 PM,The Query Strings,Hip Hop,Main Stage,4341,4341,4,52,53,31
10/9/2023 7:17:01 PM,Recursive Rhythms,Hip Hop,Main Stage,3261,3261,9,91,37,51
5/18/2023 4:14:57 AM,Bit Rate,Rock,Main Stage,4255,3671,2,75,26,27
1/2/2024 11:16:39 PM,Parallel Processors,Indie,DJ Tent,7578,3733,1,116,28,41
9/24/2023 1:46:09 PM,Random Forest,Indie,Indie Arena,8819,7922,8,68,32,34
3/3/2024 9:01:02 AM,Cluster Funk,Rock,Indie Arena,9315,5360,9,44,41,47
10/23/2023 10:35:53 PM,Bit Rate,Indie,Indie Arena,6717,702,7,82,42,56
11/6/2023 4:47:27 AM,Bit Rate,Electronic,VIP Lounge,5760,5760,8,117,32,46
4/19/2023 8:33:51 PM,The Algorithmics,Indie,DJ Tent,8724,8724,4,93,30,22
8/24/2023 6:34:53 AM,Cache Miss,Indie,Indie Arena,1276,1276,4,92,30,43
5/14/2023 8:10:10 PM,Parallel Processors,Rock,VIP Lounge,8056,1695,2,109,27,54
2/20/2024 8:51:16 PM,The Algorithmics,Jazz,DJ Tent,8692,4562,8,45,43,33
9/2/2023 4:04:33 AM,Random Forest,Indie,DJ Tent,2333,2333,2,99,23,20
9/19/2023 9:14:37 AM,Parallel Processors,Indie,VIP Lounge,4800,4800,9,95,40,58
7/25/2023 9:10:47 AM,Infinite Loop,Jazz,DJ Tent,6006,3738,4,42,42,53
3/30/2024 8:44:44 AM,Parallel Processors,Rock,VIP Lounge,7960,7739,1,76,55,55
10/5/2023 7:05:24 AM,The Query Strings,Jazz,Indie Arena,7626,1429,4,38,27,35
2/29/2024 9:43:46 AM,The Algorithmics,Rock,VIP Lounge,5659,4293,3,92,50,36
5/22/2023 12:51:26 AM,Epsilon Greedy,Electronic,DJ Tent,6832,6832,6,63,23,56
4/13/2023 7:11:23 PM,Cache Miss,Rock,Indie Arena,2613,2613,7,110,28,24
3/6/2024 10:52:46 PM,Cluster Funk,Electronic,Indie Arena,7930,7869,8,58,26,24
6/2/2023 9:08:44 AM,Syntax Error,Electronic,Main Stage,7044,7044,2,66,46,43
4/30/2023 5:56:10 AM,Random Forest,Rock,Main Stage,8010,2703,6,72,52,30
